SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
ASTS,USA,24.75,2025-05-21,52.77,2.23,0.17%,1335.21,17.884,22.175,"55,692",103.71%,109.53%  (  +2.65%),20.46%,"595,831",4,5,5,75,Communication Equipment
AKRO,USA,44.92,2025-05-09,62.36,2.38,31.95%,-,9.646,9.745,"3,355",66.00%,58.33%  (  -9.54%),11.87%,"28,991",7,5,5,0,Biotechnology
MDT,Ireland,83.45,2025-05-21,43.76,1.98,-3.97%,3.22,3.863,5.288,"5,550",28.82%,25.77%  (  +0.83%),44.18%,"212,966",8,4,4,88,Medical Devices
GLNG,Bermuda,39.83,2025-05-27,54.47,2.00,6.43%,16.00,9.336,14.192,"5,443",71.24%,50.54%  (  -1.04%),39.36%,"117,887",10,5,4,75,Oil & Gas Midstream
LOW,USA,225.19,2025-05-21,51.38,6.46,-9.90%,1.51,4.057,6.250,"2,030",33.74%,31.90%  (  +1.24%),40.67%,"110,846",4,4,4,80,Home Improvement Retail
BIDU,USA,90.26,2025-05-21,55.09,3.03,1.23%,1.37,6.253,9.166,"12,352",45.39%,45.29%  (  +1.74%),41.63%,"431,993",5,4,4,75,Internet Content & Information
SNOW,USA,167.87,2025-05-21,63.85,7.29,15.86%,15.47,11.778,13.596,"28,133",64.72%,65.05%  (  +1.38%),65.60%,"509,852",5,5,5,75,Software - Application
ZM,USA,78.23,2025-05-21,62.64,2.21,5.19%,5.12,9.418,9.100,"3,896",40.18%,43.04%  (  +0.50%),48.50%,"246,414",7,4,4,75,Software - Application
BILI,USA,18.28,2025-05-22,54.80,0.80,-1.19%,1.62,10.763,13.531,"6,632",60.72%,72.69%  (  +2.88%),29.72%,"359,291",9,5,5,85,Internet Content & Information
DKS,USA,189.77,2025-06-04,48.90,9.81,-10.71%,1.13,9.955,13.550,598,69.02%,57.83%  (  +1.95%),60.77%,"64,941",9,4,4,88,Specialty Retail
TJX,USA,128.94,2025-05-28,59.34,2.86,7.73%,2.56,4.390,5.846,"6,827",26.86%,26.63%  (  -0.12%),46.07%,"187,492",9,5,5,85,Apparel Retail
QFIN,USA,42.78,2025-05-19,57.78,2.29,24.64%,2.32,12.162,18.093,579,66.54%,59.12%  (  +2.33%),55.69%,"12,061",9,5,4,92,Credit Services
SNPS,USA,477.41,2025-05-28,65.44,17.84,-4.43%,12.17,8.904,11.338,"1,427",53.44%,39.87%  (  -0.80%),38.06%,"34,074",8,5,5,80,Software - Infrastructure
PANW,USA,188.13,2025-05-20,62.25,6.67,4.36%,14.53,9.089,9.660,"21,069",56.23%,46.52%  (  +0.52%),59.88%,"540,301",7,4,4,80,Software - Infrastructure
BJ,USA,119.44,2025-05-22,60.79,3.24,25.11%,0.77,8.700,10.468,"2,634",27.74%,36.17%  (  +0.78%),63.97%,"45,661",7,4,4,82,Discount Stores
ADSK,USA,280.07,2025-05-22,62.41,7.83,1.09%,9.76,5.815,7.368,754,40.57%,36.49%  (  -0.13%),47.63%,"42,726",10,5,5,75,Software - Application
WDAY,USA,248.34,2025-05-22,60.10,7.92,0.16%,7.90,8.742,9.331,750,44.50%,45.40%  (  +0.83%),63.07%,"69,046",7,4,4,90,Software - Application
INTU,USA,632.18,2025-05-22,60.61,18.11,1.71%,10.29,5.693,7.272,"1,718",42.31%,35.84%  (  +0.07%),51.13%,"91,439",9,5,5,90,Software - Application
GAP,USA,22.87,2025-05-29,63.08,1.16,3.21%,0.57,7.952,12.270,"11,701",94.28%,62.77%  (  +0.40%),50.16%,"221,448",9,4,4,82,Apparel Retail
BURL,USA,237.04,2025-05-29,54.38,10.56,-8.90%,1.40,8.185,11.135,"3,285",55.22%,51.53%  (  +1.80%),68.19%,"56,497",8,5,5,70,Apparel Retail
DLTR,USA,83.95,2025-06-04,64.01,3.56,11.23%,0.65,12.298,11.479,"40,040",70.90%,47.36%  (  -0.19%),35.85%,"360,672",10,4,4,65,Discount Stores
DECK,USA,118.33,2025-05-22,56.94,5.54,-25.58%,3.65,5.583,11.123,"10,315",74.39%,64.27%  (  +0.59%),61.17%,"121,464",7,4,4,88,Footwear & Accessories
BAH,USA,119.17,2025-05-23,61.69,4.01,-14.38%,1.28,7.476,12.632,"1,179",25.15%,44.40%  (  -0.84%),61.64%,"27,539",10,4,4,85,Consulting Services
PDD,USA,110.85,2025-05-28,58.57,4.64,-3.61%,2.82,8.949,11.738,"27,904",51.76%,55.92%  (  +3.10%),56.91%,"1,333,340",4,4,4,80,Internet Retail
OKTA,USA,115.71,2025-05-27,66.81,4.72,30.64%,7.70,12.035,13.791,"10,578",56.64%,62.98%  (  +1.42%),70.00%,"170,231",5,4,4,75,Software - Infrastructure
LI,USA,25.25,2025-05-19,56.28,0.93,6.27%,1.05,9.984,11.111,"7,628",53.15%,63.11%  (  +0.09%),45.37%,"270,162",9,4,4,75,Auto Manufacturers
ANF,USA,69.44,2025-05-28,40.68,4.18,-44.88%,0.69,13.229,18.133,"6,846",79.19%,79.07%  (  -2.09%),73.74%,"128,099",9,4,4,70,Apparel Retail
NVDA,USA,113.82,2025-05-28,55.26,5.81,-9.00%,21.28,9.229,11.536,"1,538,655",75.77%,53.76%  (  +0.06%),35.98%,"21,522,985",8,5,5,85,Semiconductors
A,USA,108.37,2025-05-28,48.69,3.91,-18.53%,4.73,7.474,10.703,758,45.63%,38.38%  (  -0.01%),46.76%,"29,881",9,4,5,75,Diagnostics & Research
NTNX,USA,72.43,2025-05-28,62.50,2.96,13.85%,8.33,13.097,15.250,"3,133",67.97%,50.99%  (  +0.85%),57.18%,"109,899",7,5,5,87,Software - Infrastructure
PSTG,USA,47.58,2025-06-04,56.76,2.29,-13.94%,4.90,14.476,17.437,"2,111",76.46%,58.47%  (  +2.70%),52.48%,"79,877",4,4,4,75,Computer Hardware
CRM,USA,272.63,2025-06-04,55.77,8.80,-6.96%,6.90,7.799,10.619,"27,587",46.93%,45.41%  (  +1.06%),67.46%,"501,045",5,4,4,85,Software - Application
CHWY,USA,37.81,2025-06-04,62.26,1.60,18.58%,1.32,12.474,13.403,"15,755",44.91%,52.97%  (  -0.88%),16.00%,"217,252",10,5,4,85,Internet Retail
CRDO,Cayman Islands,48.69,2025-06-04,60.95,3.62,3.51%,25.24,21.846,26.700,"2,892",111.14%,91.82%  (  +1.48%),52.02%,"91,411",5,5,5,80,Semiconductors
NTAP,USA,93.09,2025-05-29,60.69,3.14,-18.71%,2.95,9.398,10.157,873,58.36%,45.89%  (  -0.30%),56.94%,"50,466",8,4,4,68,Computer Hardware
MRVL,USA,61.98,2025-05-29,53.44,3.77,-25.55%,9.31,9.547,14.639,"50,497",98.46%,68.48%  (  +1.01%),48.58%,"792,318",8,5,5,85,Semiconductors
COST,USA,1014.89,2025-05-29,64.02,26.56,8.91%,1.71,3.965,5.996,"25,793",29.82%,28.08%  (  -0.50%),43.62%,"260,518",6,4,5,85,Discount Stores
DELL,USA,94.36,2025-05-29,55.85,4.74,-15.08%,0.69,10.210,13.436,"17,111",90.71%,62.61%  (  +0.86%),58.58%,"708,791",6,5,5,78,Computer Hardware
ESTC,Netherlands,83.26,2025-05-29,47.06,4.21,-12.40%,6.08,17.729,18.731,"1,014",65.82%,62.95%  (  +3.42%),51.59%,"30,024",4,5,5,80,Software - Application
S,USA,18.91,2025-05-29,55.64,0.83,-17.06%,7.59,14.847,13.621,"2,133",63.35%,67.00%  (  +5.61%),66.14%,"183,970",7,5,5,78,Software - Infrastructure
TCOM,USA,60.49,2025-05-19,56.18,2.06,1.55%,5.27,11.323,12.896,544,42.62%,45.14%  (  +3.99%),43.69%,"92,779",6,5,5,,Travel Services
LULU,USA,278.55,2025-06-04,50.23,12.61,-11.18%,3.17,9.756,11.544,"7,627",70.98%,48.25%  (  +2.54%),47.30%,"175,427",9,4,4,80,Apparel Retail
ZS,USA,232.98,2025-05-29,68.75,8.53,20.86%,14.88,10.489,8.537,"14,863",62.06%,45.94%  (  +3.37%),36.65%,"223,596",9,5,5,85,Software - Infrastructure
IOT,USA,41.36,2025-06-05,58.26,2.08,-8.18%,18.85,16.060,0.000,"4,143",67.86%,59.91%  (  +2.88%),42.06%,"117,408",7,4,4,80,Software - Infrastructure
VEEV,USA,236.99,2025-05-29,60.78,7.09,8.78%,14.04,8.977,11.036,522,32.38%,37.85%  (  +1.43%),54.54%,"27,009",9,4,4,80,Health Information Services
CRWD,USA,443.47,2025-06-03,68.17,18.95,32.31%,27.80,9.624,12.726,"35,741",65.68%,52.79%  (  +4.91%),47.76%,"364,916",6,5,5,85,Software - Infrastructure
ULTA,USA,394.29,2025-05-29,61.06,13.81,4.01%,1.58,7.885,9.483,"1,477",46.46%,44.17%  (  +0.02%),55.38%,"66,113",9,4,4,65,Specialty Retail
HPE,USA,16.67,2025-06-03,57.93,0.73,-14.03%,0.70,9.193,12.401,"6,768",78.93%,50.77%  (  +3.21%),45.01%,"577,362",8,4,4,70,Communication Equipment
STNE,Cayman Islands,13.34,2025-05-08,61.87,0.56,22.95%,3.85,9.617,9.948,"6,347",52.25%,55.26%  (  -0.38%),23.63%,"114,464",10,4,4,78,Software - Infrastructure
MDB,USA,172.96,2025-05-29,49.01,9.19,-31.07%,7.00,13.517,11.418,"8,838",72.42%,75.59%  (  +8.46%),73.24%,"207,936",7,5,5,70,Software - Infrastructure
AVGO,USA,200.72,2025-06-11,61.24,9.20,8.42%,17.31,7.327,0.000,"95,579",77.26%,51.06%  (  +4.21%),41.23%,"2,074,341",9,5,5,88,Semiconductors
GTLB,USA,45.48,2025-06-02,47.05,2.53,-17.62%,9.82,15.728,17.233,"2,164",72.34%,65.96%  (  +4.04%),57.12%,"101,348",6,5,5,80,Software - Infrastructure
ASO,USA,37.80,2025-06-10,42.52,2.05,-26.13%,0.42,9.674,0.000,"1,226",84.23%,56.17%  (  +4.79%),54.47%,"31,153",7,4,4,60,Specialty Retail
ADBE,USA,381.06,2025-06-12,56.77,11.02,-19.25%,7.37,7.904,0.000,"20,458",37.43%,28.52%  (  +0.99%),19.69%,"301,534",8,4,4,85,Software - Application
KR,USA,72.88,2025-06-19,63.76,1.75,21.07%,0.33,5.659,0.000,"10,135",29.46%,22.40%  (  -0.07%),22.37%,"242,027",6,4,4,80,Grocery Stores
UEC,USA,5.24,2025-06-06,54.77,0.30,-16.42%,33.61,6.243,0.000,"1,466",60.01%,69.88%  (  +1.02%),60.18%,"222,582",6,4,4,0,Uranium
ORCL,USA,149.29,2025-06-10,59.72,5.91,-6.56%,7.50,8.738,0.000,"22,351",57.37%,35.36%  (  +0.98%),35.05%,"725,309",7,4,4,90,Software - Infrastructure
RBRK,USA,74.67,2025-06-10,66.38,3.88,42.14%,15.98,19.038,0.000,"5,904",80.39%,73.65%  (  +3.85%),41.67%,"40,421",6,5,5,75,Software - Infrastructure
DRI,USA,202.68,2025-06-19,54.95,5.53,15.65%,2.02,5.712,0.000,"3,606",32.07%,30.57%  (  +0.49%),50.40%,"31,388",7,4,4,80,Restaurants
ROIV,Bermuda,11.57,2025-05-29,67.73,0.37,2.78%,84.62,6.646,11.072,"15,204",41.75%,33.55%  (  +0.24%),25.02%,"56,860",6,5,5,65,Biotechnology
06:08:59 PM,,,,,,,,,,,,,,,,,,,
